loss:0.007478983821019938, accuracy:0.9972057342529297, recall:0.9870195388793945, precision:0.9871930480003357
loss:0.009102872848015977, accuracy:0.997334897518158, recall:0.9893903136253357, precision:0.9876238703727722
loss:0.005895241985126631, accuracy:0.9981057047843933, recall:0.9915513396263123, precision:0.9919787645339966
loss:0.00687205326901676, accuracy:0.9972428679466248, recall:0.988102912902832, precision:0.9874266386032104
loss:0.007164132823636465, accuracy:0.9977123737335205, recall:0.9912473559379578, precision:0.9891006350517273
loss:0.0075016820053497215, accuracy:0.9974365234375, recall:0.9898371696472168, precision:0.9874454140663147
loss:0.007571771495777284, accuracy:0.997484028339386, recall:0.99000483751297, precision:0.9890480041503906
loss:0.007387427462726919, accuracy:0.9980929493904114, recall:0.9914500117301941, precision:0.991747260093689
loss:0.007132798715429089, accuracy:0.9974067211151123, recall:0.9883238077163696, precision:0.9886285066604614
loss:0.006152671883028233, accuracy:0.9976055026054382, recall:0.9897558093070984, precision:0.9889780282974243
loss:0.006840069082609261, accuracy:0.9972093105316162, recall:0.9871102571487427, precision:0.9876598119735718
loss:0.007396995895269356, accuracy:0.9973687529563904, recall:0.9890780448913574, precision:0.9875778555870056
loss:0.007598135140560771, accuracy:0.997559130191803, recall:0.9907523393630981, precision:0.9880853295326233
loss:0.00536225436660061, accuracy:0.9984092712402344, recall:0.9921005964279175, precision:0.9937417507171631
loss:0.007477158324300035, accuracy:0.9973164796829224, recall:0.9872868061065674, precision:0.9884132146835327
loss:0.007058894313649944, accuracy:0.9972008466720581, recall:0.9880467057228088, precision:0.9872745871543884
loss:0.006140060173156599, accuracy:0.9977983832359314, recall:0.9904399514198303, precision:0.9903910756111145
loss:0.008719050767795125, accuracy:0.9976100921630859, recall:0.9894541501998901, precision:0.9895188808441162
loss:0.00908380810228664, accuracy:0.9969671964645386, recall:0.9883303642272949, precision:0.9861764311790466
loss:0.006695069649103971, accuracy:0.9977071285247803, recall:0.9883752465248108, precision:0.9908831715583801
loss:0.007873790138146432, accuracy:0.997333288192749, recall:0.9882063269615173, precision:0.9881294965744019
loss:0.007091843328271352, accuracy:0.9975297451019287, recall:0.9891236424446106, precision:0.9896456003189087
loss:0.006998027636800543, accuracy:0.9976752400398254, recall:0.9901692271232605, precision:0.9891470074653625
